,name,rider_number,charity,event,finish_time,status,last_timing_point,finish_tod,finish_time,finish_diff,finish_mph
0,Dani Ettridge (GBR),30686,,Ford RideLondon-Essex 30,03:20:18,Finished,Finish,12:11:41,03:20:18,03:20:18,10.5
0,Elizabeth Evans (GBR),118065,,Ford RideLondon-Essex 30,02:29:10,Finished,Finish,10:40:25,02:29:10,02:29:10,14.1
0,Fatima Farid (GBR),30039,,Ford RideLondon-Essex 30,03:47:17,Finished,Finish,12:37:57,03:47:17,03:47:17,9.25
0,Zoe Firth (GBR),30382,,Ford RideLondon-Essex 30,03:02:27,Finished,Finish,12:29:45,03:02:27,03:02:27,11.52
0,Michelle Fisher (GBR),106520,,Ford RideLondon-Essex 30,02:50:19,Finished,Finish,11:24:23,02:50:19,02:50:19,12.34
0,Laura Forrest (GBR),30400,,Ford RideLondon-Essex 30,02:52:26,Finished,Finish,11:56:27,02:52:26,02:52:26,12.19
0,Mandy Fourie (GBR),30055,,Ford RideLondon-Essex 30,02:27:47,Finished,Finish,11:26:18,02:27:47,02:27:47,14.23
0,Helena Francis (GBR),62502,,Ford RideLondon-Essex 30,02:50:49,Finished,Finish,12:11:28,02:50:49,02:50:49,12.31
0,Cloe Freeman (GBR),128712,Alzheimer's Society,Ford RideLondon-Essex 30,02:38:39,Finished,Finish,12:15:32,02:38:39,02:38:39,13.25
0,Carol Furness (GBR),61416,,Ford RideLondon-Essex 30,04:50:22,Finished,Finish,13:50:59,04:50:22,04:50:22,7.24
0,Osob Gabdon (SOM),30717,,Ford RideLondon-Essex 30,05:23:46,Finished,Finish,14:30:08,05:23:46,05:23:46,6.49
0,Lucinda Gabriel (AUS),60933,,Ford RideLondon-Essex 30,03:01:03,Finished,Finish,11:57:53,03:01:03,03:01:03,11.61
0,Shweta Gandhi (IND),63010,,Ford RideLondon-Essex 30,02:36:34,Finished,Finish,11:42:01,02:36:34,02:36:34,13.43
0,Stephanie Garcia (CHI),30706,,Ford RideLondon-Essex 30,02:48:23,Finished,Finish,12:05:34,02:48:23,02:48:23,12.49
0,Lisa Geary (IRL),30622,,Ford RideLondon-Essex 30,02:36:07,Finished,Finish,11:39:49,02:36:07,02:36:07,13.47
0,Priyanka Gemawat (GBR),30359,,Ford RideLondon-Essex 30,04:39:10,Finished,Finish,13:42:06,04:39:10,04:39:10,7.53
0,Victoria Geoghegan (GBR),30014,,Ford RideLondon-Essex 30,02:52:20,Finished,Finish,12:02:23,02:52:20,02:52:20,12.2
0,Julie Geoghegan (GBR),30191,,Ford RideLondon-Essex 30,02:51:59,Finished,Finish,12:02:07,02:51:59,02:51:59,12.22
0,Fran Geoghegan (GBR),30243,,Ford RideLondon-Essex 30,03:05:51,Finished,Finish,12:15:58,03:05:51,03:05:51,11.31
0,Sarah George (GBR),61285,,Ford RideLondon-Essex 30,02:59:19,Finished,Finish,11:55:50,02:59:19,02:59:19,11.72
0,Clare Goebel (GBR),30208,,Ford RideLondon-Essex 30,03:12:44,Finished,Finish,12:13:24,03:12:44,03:12:44,10.91
0,Ksenia Gogitidze (GBR),30298,,Ford RideLondon-Essex 30,02:29:48,Finished,Finish,11:42:57,02:29:48,02:29:48,14.04
0,Judith Goi (SGP),62932,,Ford RideLondon-Essex 30,04:21:33,Finished,Finish,13:22:55,04:21:33,04:21:33,8.04
0,Huda Good (GBR),30705,,Ford RideLondon-Essex 30,05:22:46,Finished,Finish,14:29:07,05:22:46,05:22:46,6.51
0,Trish Goveas (GBR),30222,,Ford RideLondon-Essex 30,03:16:32,Finished,Finish,12:13:22,03:16:32,03:16:32,10.7
0,Rachel Grant (GBR),30696,,Ford RideLondon-Essex 30,02:11:23,Finished,Finish,11:21:42,02:11:23,02:11:23,16.0
0,Shuntelle Greenidge (GBR),61163,,Ford RideLondon-Essex 30,02:51:20,Finished,Finish,11:49:04,02:51:20,02:51:20,12.27
0,Siobhan Halliday (GBR),127200,,Ford RideLondon-Essex 30,03:10:59,Finished,Finish,12:03:17,03:10:59,03:10:59,11.01
0,Shikin Hamid (SGP),30079,,Ford RideLondon-Essex 30,02:26:21,Finished,Finish,11:28:23,02:26:21,02:26:21,14.37
0,Emel Hamit (GBR),60983,,Ford RideLondon-Essex 30,02:44:52,Finished,Finish,11:43:37,02:44:52,02:44:52,12.75
0,Farhana Haque (GBR),30711,,Ford RideLondon-Essex 30,03:08:15,Finished,Finish,12:31:20,03:08:15,03:08:15,11.17
0,Lindsey Harris (GBR),117618,,Ford RideLondon-Essex 30,04:04:56,Finished,Finish,12:08:31,04:04:56,04:04:56,8.58
0,Bryony Hayden (GBR),115411,,Ford RideLondon-Essex 30,02:54:25,Finished,Finish,09:42:50,02:54:25,02:54:25,12.05
0,Clare Hayward (GBR),30458,,Ford RideLondon-Essex 30,03:53:57,Finished,Finish,13:08:14,03:53:57,03:53:57,8.99
0,Abi Heath (GBR),30404,,Ford RideLondon-Essex 30,02:23:23,Finished,Finish,11:29:10,02:23:23,02:23:23,14.66
0,Sarah Heath (GBR),30318,,Ford RideLondon-Essex 30,02:56:13,Finished,Finish,12:11:24,02:56:13,02:56:13,11.93
0,Anne Heeney (GBR),30261,,Ford RideLondon-Essex 30,02:55:07,Finished,Finish,12:05:14,02:55:07,02:55:07,12.01
0,Josie Heffernan (GBR),63000,,Ford RideLondon-Essex 30,03:04:59,Finished,Finish,11:58:09,03:04:59,03:04:59,11.37
0,Helena Heywood (GBR),30337,,Ford RideLondon-Essex 30,02:50:50,Finished,Finish,12:11:29,02:50:50,02:50:50,12.31
0,Sabine Hiller (GER),62926,,Ford RideLondon-Essex 30,03:32:40,Finished,Finish,12:26:39,03:32:40,03:32:40,9.89
0,Yit-Ching Hindmarsh (GBR),30554,,Ford RideLondon-Essex 30,04:10:40,Finished,Finish,13:13:22,04:10:40,04:10:40,8.39
0,Vanessa Ho (GBR),128799,,Ford RideLondon-Essex 30,03:23:37,Finished,Finish,12:42:41,03:23:37,03:23:37,10.33
0,Tia Hobson (GBR),30119,,Ford RideLondon-Essex 30,03:05:38,Finished,Finish,12:00:42,03:05:38,03:05:38,11.33
0,Katy Hogg (GBR),30327,,Ford RideLondon-Essex 30,02:46:54,Finished,Finish,12:14:22,02:46:54,02:46:54,12.6
0,Natalie Holland (GBR),63004,,Ford RideLondon-Essex 30,04:54:02,Finished,Finish,14:09:22,04:54:02,04:54:02,7.15
0,Timea Horvath (HUN),62924,,Ford RideLondon-Essex 30,04:22:37,Finished,Finish,13:34:46,04:22:37,04:22:37,8.01
0,Claire Howard (GBR),30310,,Ford RideLondon-Essex 30,02:45:04,Finished,Finish,09:58:25,02:45:04,02:45:04,12.74
0,Zoë Hughes Nind (GBR),63124,,Ford RideLondon-Essex 30,02:45:52,Finished,Finish,12:07:10,02:45:52,02:45:52,12.68
0,Jessica Hughes-Nind (GBR),63132,,Ford RideLondon-Essex 30,02:45:54,Finished,Finish,12:07:10,02:45:54,02:45:54,12.67
0,Alysia Hurrell (GBR),128303,,Ford RideLondon-Essex 30,03:42:41,Finished,Finish,12:42:41,03:42:41,03:42:41,9.44
0,Ruth Hyde (GBR),61518,,Ford RideLondon-Essex 30,04:50:25,Finished,Finish,13:51:01,04:50:25,04:50:25,7.24
0,Merissa Hylton (GBR),61115,,Ford RideLondon-Essex 30,02:59:27,Finished,Finish,11:57:10,02:59:27,02:59:27,11.72
0,Caroline Hynds (GBR),30588,,Ford RideLondon-Essex 30,03:30:16,Finished,Finish,12:31:07,03:30:16,03:30:16,10.0
0,Adesuwa Idahosa (GBR),30319,,Ford RideLondon-Essex 30,04:31:47,Finished,Finish,13:22:19,04:31:47,04:31:47,7.74
0,Chikere Igbokwe (GBR),30501,,Ford RideLondon-Essex 30,03:26:17,Finished,Finish,12:18:32,03:26:17,03:26:17,10.19
0,Vanessa Impey (GBR),30673,,Ford RideLondon-Essex 30,04:10:41,Finished,Finish,13:21:33,04:10:41,04:10:41,8.39
0,Kay Inckle (GBR),30342,,Ford RideLondon-Essex 30,03:53:51,Finished,Finish,13:05:20,03:53:51,03:53:51,8.99
0,Jacey Ip (GBR),30454,,Ford RideLondon-Essex 30,03:03:46,Finished,Finish,11:59:06,03:03:46,03:03:46,11.44
0,Lucy Iremonger (GBR),30364,,Ford RideLondon-Essex 30,02:38:16,Finished,Finish,12:06:07,02:38:16,02:38:16,13.29
0,Anita Jayadev (GBR),30238,,Ford RideLondon-Essex 30,03:43:23,Finished,Finish,12:57:39,03:43:23,03:43:23,9.41
0,Poonam Jehlwal (GBR),61511,,Ford RideLondon-Essex 30,05:50:45,Finished,Finish,14:42:09,05:50:45,05:50:45,5.99
0,Michelle Jidefor (ZIM),30680,,Ford RideLondon-Essex 30,03:46:16,Finished,Finish,12:52:15,03:46:16,03:46:16,9.29
0,Ayshea John (GBR),114186,,Ford RideLondon-Essex 30,04:38:42,Finished,Finish,13:09:51,04:38:42,04:38:42,7.54
0,Ruth Jones (GBR),30621,,Ford RideLondon-Essex 30,02:46:44,Finished,Finish,11:54:50,02:46:44,02:46:44,12.61
0,Geraldine Jones (GBR),30394,,Ford RideLondon-Essex 30,02:56:21,Finished,Finish,12:24:49,02:56:21,02:56:21,11.92
0,Nicole Jones (GBR),30563,,Ford RideLondon-Essex 30,02:29:04,Finished,Finish,11:26:10,02:29:04,02:29:04,14.1
