,name,rider_number,charity,event,finish_time,status,last_timing_point,arr25_tod,arr25_time,arr25_diff,arr25_mph,dep26_tod,dep26_time,dep26_diff,dep26_mph,arr53_tod,arr53_time,arr53_diff,arr53_mph,dep54_tod,dep54_time,dep54_diff,dep54_mph,arr73_tod,arr73_time,arr73_diff,arr73_mph,dep74_tod,dep74_time,dep74_diff,dep74_mph,finish_tod,finish_time,finish_diff,finish_mph
0,Shawyer Gideon (GBR),112671,,Ford RideLondon-Essex 100,06:41:30,Finished,Finish,08:00:23,01:47:01,01:47:01,14.01,08:23:06,02:09:44,22:43,2.63,10:06:16,03:52:54,01:43:10,15.72,10:41:28,04:28:06,35:12,1.69,11:57:22,05:44:00,01:15:54,15.03,12:24:11,06:10:49,26:49,2.23,14:19:37,08:06:16,01:55:27,15.21
0,Peter Gilbert (GBR),108997,,Ford RideLondon-Essex 100,05:16:32,Finished,Finish,08:08:54,01:14:14,01:14:14,20.19,08:11:04,01:16:24,02:10,27.53,09:31:24,02:36:45,01:20:21,20.19,09:33:30,02:38:50,02:05,28.53,10:41:09,03:46:30,01:07:40,16.86,10:55:31,04:00:52,14:22,4.15,12:29:50,05:35:11,01:34:19,18.62
0,Gavin Gilbert (GBR),101882,,Ford RideLondon-Essex 100,05:58:43,Finished,Finish,07:40:19,01:18:40,01:18:40,19.06,07:42:53,01:21:14,02:34,23.28,09:02:41,02:41:02,01:19:48,20.33,09:04:31,02:42:52,01:50,32.33,10:41:45,04:20:06,01:37:14,11.74,10:46:54,04:25:15,05:09,11.58,12:29:57,06:08:18,01:43:03,17.04
0,Stephen Gilbert (GBR),128396,Sense UK,Ford RideLondon-Essex 100,05:48:56,Finished,Finish,09:19:01,01:26:08,01:26:08,17.41,09:21:16,01:28:24,02:16,26.35,10:47:56,02:55:03,01:26:39,18.72,10:50:36,02:57:43,02:40,22.37,11:54:56,04:02:03,01:04:20,17.74,11:57:45,04:04:53,02:50,21.18,13:49:36,05:56:43,01:51:50,15.7
0,Tom Gilbert (GBR),113343,,Ford RideLondon-Essex 100,05:19:37,Finished,Finish,08:25:05,01:15:02,01:15:02,19.98,08:27:30,01:17:27,02:25,24.6,10:01:02,02:50:59,01:33:32,17.34,10:03:08,02:53:05,02:06,28.42,11:03:07,03:53:04,59:59,19.02,11:11:02,04:00:59,07:55,7.54,12:42:07,05:32:04,01:31:05,19.28
0,Leigh Gilbert (GBR),114305,,Ford RideLondon-Essex 100,07:08:54,Finished,Finish,09:20:30,01:34:19,01:34:19,15.9,09:24:21,01:38:10,03:51,15.45,11:26:24,03:40:13,02:02:03,13.29,11:29:05,03:42:54,02:41,22.26,12:49:40,05:03:29,01:20:35,14.16,13:06:36,05:20:25,16:56,3.52,15:18:35,07:32:24,02:11:59,13.31
0,Steve Gilbert (GBR),108348,,Ford RideLondon-Essex 100,05:18:45,Finished,Finish,07:59:01,01:14:30,01:14:30,20.12,08:01:22,01:16:51,02:21,25.37,09:22:48,02:38:17,01:21:26,19.92,09:43:41,02:59:10,20:53,2.86,10:46:37,04:02:06,01:02:56,18.13,10:48:48,04:04:17,02:11,27.35,12:28:43,05:44:12,01:39:55,17.58
0,Luke Gilbert (GBR),120333,,Ford RideLondon-Essex 100,09:23:48,Finished,Finish,09:49:42,01:45:30,01:45:30,14.21,09:59:41,01:55:29,09:59,5.97,12:38:49,04:34:37,02:39:08,10.19,12:49:08,04:44:56,10:19,5.79,14:56:44,06:52:32,02:07:36,8.94,15:07:58,07:03:46,11:14,5.31,17:59:33,09:55:21,02:51:35,10.24
0,Jon Gilbert (GBR),113998,Willen Hospice Ventures Ltd,Ford RideLondon-Essex 100,05:50:21,Finished,Finish,08:14:04,01:24:44,01:24:44,17.69,08:24:26,01:35:05,10:21,5.76,10:03:22,03:14:01,01:38:56,16.4,10:16:35,03:27:14,13:13,4.51,11:18:43,04:29:22,01:02:08,18.36,12:12:10,05:22:49,53:27,1.12,13:56:45,07:07:24,01:44:35,16.79
0,Harrison Gilbert (GBR),126831,,Ford RideLondon-Essex 100,06:48:41,Finished,Finish,09:31:01,01:36:05,01:36:05,15.6,09:55:43,02:00:47,24:42,2.42,11:51:37,03:56:41,01:55:54,13.99,12:30:56,04:36:00,39:19,1.52,13:44:48,05:49:51,01:13:51,15.45,14:03:59,06:09:03,19:12,3.11,16:06:51,08:11:55,02:02:52,14.29
0,Wilfred Gilbert (GBR),104262,,Ford RideLondon-Essex 100,06:18:57,Finished,Finish,07:52:42,01:37:12,01:37:12,15.42,08:05:17,01:49:47,12:35,4.74,09:35:47,03:20:17,01:30:30,17.92,10:19:22,04:03:52,43:35,1.37,11:25:02,05:09:32,01:05:40,17.38,11:51:46,05:36:16,26:44,2.23,13:57:22,07:41:51,02:05:35,13.98
0,Sean Gilbert (GBR),114522,Breast Cancer Now,Ford RideLondon-Essex 100,07:07:36,Finished,Finish,08:13:25,01:28:50,01:28:50,16.88,08:21:34,01:37:00,08:10,7.32,10:12:46,03:28:11,01:51:11,14.59,10:15:24,03:30:50,02:39,22.64,11:39:40,04:55:05,01:24:15,13.54,11:51:48,05:07:14,12:09,4.91,14:15:08,07:30:34,02:23:20,12.25
0,James Gilbert (GBR),111742,,Ford RideLondon-Essex 100,05:22:53,Finished,Finish,09:07:57,01:22:35,01:22:35,18.16,09:23:43,01:38:20,15:45,3.78,10:47:08,03:01:45,01:23:25,19.45,11:31:05,03:45:43,43:58,1.36,12:30:41,04:45:19,59:36,19.15,12:44:15,04:58:53,13:34,4.4,14:21:35,06:36:12,01:37:19,18.05
0,Jp Gilbert (GBR),104566,,Ford RideLondon-Essex 100,05:45:30,Finished,Finish,07:28:56,01:14:10,01:14:10,20.21,08:04:21,01:49:35,35:25,1.68,09:16:42,03:01:57,01:12:22,22.42,09:54:14,03:39:28,37:31,1.59,10:55:22,04:40:37,01:01:09,18.66,11:20:10,05:05:25,24:48,2.41,13:38:01,07:23:16,02:17:51,12.74
0,Martin Gilchrist (GBR),128688,,Ford RideLondon-Essex 100,07:21:47,Finished,Finish,08:38:52,01:42:11,01:42:11,14.67,08:50:39,01:53:58,11:47,5.06,10:41:53,03:45:12,01:51:14,14.58,10:44:54,03:48:13,03:01,19.73,12:10:27,05:13:46,01:25:33,13.34,12:13:21,05:16:40,02:54,20.61,14:36:11,07:39:30,02:22:50,12.3
0,Stephen Gilchrist (GBR),104978,,Ford RideLondon-Essex 100,05:04:22,Finished,Finish,07:30:00,01:13:06,01:13:06,20.51,07:32:11,01:15:18,02:12,27.25,08:48:40,02:31:47,01:16:29,21.21,08:50:39,02:33:45,01:58,30.24,09:48:47,03:31:53,58:08,19.63,09:54:36,03:37:42,05:49,10.26,11:31:16,05:14:22,01:36:40,18.17
0,Jamie Gilchrist (GBR),103265,,Ford RideLondon-Essex 100,06:15:14,Finished,Finish,09:28:11,01:26:37,01:26:37,17.31,10:30:29,02:28:55,01:02:18,0.96,12:03:30,04:01:56,01:33:01,17.44,13:04:37,05:03:03,01:01:07,0.98,14:16:13,06:14:39,01:11:36,15.94,14:38:09,06:36:35,21:56,2.72,16:42:11,08:40:37,02:04:02,14.16
0,Jonathan Gilchrist (GBR),128782,,Ford RideLondon-Essex 100,07:07:41,Finished,Finish,10:25:08,01:43:51,01:43:51,14.44,10:46:55,02:05:38,21:47,2.74,12:32:53,03:51:36,01:45:58,15.31,13:10:59,04:29:42,38:06,1.57,14:36:40,05:55:23,01:25:41,13.32,14:47:26,06:06:09,10:46,5.55,16:59:38,08:18:21,02:12:12,13.28
0,Simon Gilchrist (AUS),115586,,Ford RideLondon-Essex 100,05:18:43,Finished,Finish,08:16:53,01:19:06,01:19:06,18.95,08:19:31,01:21:44,02:38,22.63,09:36:46,02:38:59,01:17:15,21.0,09:52:27,02:54:40,15:41,3.8,11:02:28,04:04:42,01:10:02,16.3,11:04:48,04:07:01,02:19,25.64,12:37:10,05:39:23,01:32:22,19.02
0,Al Giles (GBR),125544,,Ford RideLondon-Essex 100,08:38:01,Finished,Finish,09:55:50,01:39:25,01:39:25,15.08,09:59:06,01:42:41,03:16,18.24,12:04:01,03:47:36,02:04:55,12.99,12:19:50,04:03:25,15:49,3.77,14:02:24,05:45:59,01:42:34,11.12,14:25:39,06:09:14,23:15,2.57,17:36:47,09:20:22,03:11:08,9.19
0,Chris Giles (GBR),105274,,Ford RideLondon-Essex 100,06:05:00,Finished,Finish,07:52:44,01:38:35,01:38:35,15.21,08:11:41,01:57:32,18:57,3.15,09:37:50,03:23:41,01:26:09,18.83,10:26:59,04:12:49,49:08,1.21,11:31:43,05:17:34,01:04:45,17.63,11:49:48,05:35:39,18:05,3.3,13:45:21,07:31:12,01:55:33,15.2
