,name,rider_number,charity,event,finish_time,status,last_timing_point,finish_tod,finish_time,finish_diff,finish_mph
0,Anup Isaacs (IND),30277,,Ford RideLondon-Essex 30,03:23:23,Finished,Finish,12:22:58,03:23:23,03:23:23,10.34
0,Oliver James (GBR),30247,,Ford RideLondon-Essex 30,02:46:25,Finished,Finish,11:42:53,02:46:25,02:46:25,12.63
0,Khalid Janjua (GBR),30368,,Ford RideLondon-Essex 30,03:06:46,Finished,Finish,12:08:01,03:06:46,03:06:46,11.26
0,Stanislaw Jankowski (GBR),30714,,Ford RideLondon-Essex 30,02:08:58,Finished,Finish,11:13:27,02:08:58,02:08:58,16.3
0,Chris Jarvis (GBR),63088,,Ford RideLondon-Essex 30,02:18:44,Finished,Finish,11:21:46,02:18:44,02:18:44,15.15
0,Tanbir Jasimuddin (GBR),63099,,Ford RideLondon-Essex 30,03:01:12,Finished,Finish,11:57:04,03:01:12,03:01:12,11.6
0,Alejandro Javier De Mesa (ESP),30726,,Ford RideLondon-Essex 30,05:37:57,Finished,Finish,14:27:16,05:37:57,05:37:57,6.22
0,Brook Jerue (USA),120437,,Ford RideLondon-Essex 30,02:39:18,Finished,Finish,10:39:11,02:39:18,02:39:18,13.2
0,Kalhan Jogireddy (GBR),119879,,Ford RideLondon-Essex 30,05:30:36,Finished,Finish,13:37:31,05:30:36,05:30:36,6.36
0,Peter Johnstone (GBR),30514,,Ford RideLondon-Essex 30,02:37:52,Finished,Finish,11:31:04,02:37:52,02:37:52,13.32
0,Martin Jones (GBR),61634,,Ford RideLondon-Essex 30,02:52:19,Finished,Finish,12:04:05,02:52:19,02:52:19,12.2
0,Michael Jones (GBR),30620,,Ford RideLondon-Essex 30,02:27:24,Finished,Finish,11:21:19,02:27:24,02:27:24,14.26
0,Timothy Jordan (GBR),30181,,Ford RideLondon-Essex 30,03:05:37,Finished,Finish,12:00:42,03:05:37,03:05:37,11.33
0,Marc Jordan (GBR),30640,,Ford RideLondon-Essex 30,02:59:18,Finished,Finish,11:57:32,02:59:18,02:59:18,11.73
0,Jerin Jose (IND),30543,,Ford RideLondon-Essex 30,02:50:32,Finished,Finish,11:44:13,02:50:32,02:50:32,12.33
